Year,Rated,Released,Runtime,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated
1994.0,2.0,10.0,116.0,7.1,171017.0,tt0111282,5.1,4.2,,,,
1985.0,1.0,11.0,107.0,6.3,11123.0,tt0089961,2.0,,,,,
1994.0,3.0,10.0,142.0,9.3,2238077.0,tt0111161,9.0,8.0,,7.0,,
1994.0,3.0,2.0,89.0,7.3,55201.0,tt0111149,6.9,6.7,,,,
1993.0,,8.0,96.0,6.6,1637.0,tt0108260,6.9,,,,,
1993.0,3.0,1.0,108.0,7.4,5152.0,tt0106966,8.1,,,1.0,,
1994.0,3.0,4.0,93.0,7.1,21375.0,tt0114594,7.8,6.6,,,,
1994.0,3.0,3.0,100.0,7.3,4916.0,tt0111309,6.7,,,,,
1995.0,3.0,9.0,91.0,5.8,5334.0,tt0113936,0.0,,,,,
1994.0,,12.0,133.0,8.3,15076.0,tt0110081,8.7,,,,,1.0
1995.0,3.0,3.0,104.0,5.4,29449.0,tt0114614,4.0,4.6,,,,
1995.0,3.0,1.0,92.0,6.7,20311.0,tt0114608,3.8,4.8,,,,
1994.0,1.0,11.0,118.0,6.6,73880.0,tt0111280,5.0,5.5,,,,
